# Customization for Sites;;;
#;;;
# --- BOMBARDIER TRANSPORTATION FUNCTIONAL DESIGN BASELINE ---;;;
#;;;
# Exchange IDs;;;
#;;;
#VALUELIST;DESC;VL3;3
#VALUELIST;DOMAINID;DM1;3
#VALUELIST;LISTID;VL1;3
#VALUELIST;MSGLOGTAG;OLOG1;3
#
VALUELIST.VL1;DM1;VL3
HLFG;@;High-Level Function Group;
FBLCI;@;Functional Baseline Config Item;
