# Entries for Object Message Types;;;;;;;;;
#;;;;;;;;;
# --- STANDARD ---;;;;;;;;;
#;;;;;;;;;
# Exchange IDs;;;;;;;;;
#;;;;;;;;;
#DM1;OBJECTMESSAGETYPE;DOMAINID;domain identifier;3;;;;;
#OMD1;OBJECTMESSAGETYPE;UID;unique identifier of the object message;7;;;;;
#OMD10;OBJECTMESSAGETYPE;STATUSTYPES;resulting status types of the object message;2;;;;;
#OMD2;OBJECTMESSAGETYPE;AREA;area of the object message;3;;;;;
#OMD20;OBJECTMESSAGETYPE;STATUSCODES;resulting status codes of the object message;2;;;;;
#OMD3;OBJECTMESSAGETYPE;WEIGHT;weight of the object message;1;;;;;
#OMD4;OBJECTMESSAGETYPE;TYPEID;type of the object message;3;;;;;   [Error] = 1        Info = 3        Attention = 2        Warning = 4
#OMD5;OBJECTMESSAGETYPE;MESSAGE;message text of the object message;3;;;;;
#OMD6;OBJECTMESSAGETYPE;DESCRIPTION;additional description and help text of the object message;10;;;;;
#OMD7;OBJECTMESSAGETYPE;ISPERSISTED;true if the messages of this type will be persisted in the log;9;;;;;
#;;;;;;;;;
# HEADER;;;;;;;;;
#;;;;;;;;;
OMD1;DM1;OMD2;OMD5;OMD6;OMD3;OMD4;OMD7;OMD20;OMD10
# Schedule Lifecycle Status;;;;;;;;;
#;;;;;;;;;
2100;@;SCHEDULING;schedule of schedule type '%1%' has no finishing milestone '%2%';;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2101;@;SCHEDULING;schedule #%1%.%2% has no schedule type or schedule type couldnot be retrieved;;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2102;@;SCHEDULING;schedule of schedule type '%1%' has a date milestone ('%2%') with value '%3%' which is not a valid date ;;98;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2103;@;SCHEDULING;schedule of schedule type '%1%' has an actual milestone ('%2%') with value '%3%' which is prohibited;;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2104;@;SCHEDULING;schedule of schedule type '%1%' has a mandatory actual milestone ('%2%') with no value;;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2105;@;SCHEDULING;schedule of schedule type '%1%' has a facultative actual milestone ('%2%') with no value;;10;Info;false;|G1|;|SCHEDULINGLFCL|
2106;@;SCHEDULING;schedule of schedule type '%1%' has a forecast milestone ('%2%') with value '%3%' which is prohibited;;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2107;@;SCHEDULING;schedule of schedule type '%1%' has a mandatory forecast milestone ('%2%') with no value;;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2108;@;SCHEDULING;schedule of schedule type '%1%' has a facultative forecast milestone ('%2%') with no value;;10;Info;false;|G1|;|SCHEDULINGLFCL|
# success;;;;;;;;;
2200;@;SCHEDULING;schedule of schedule type '%1%' can go alive and passed all checks;;10;Info;true;|G1|;|SCHEDULINGLFCL|
2201;@;SCHEDULING;schedule of schedule type '%1%' can go alive and passed life cycle checks with comments or warnings;;11;Info;true;|G1|;|SCHEDULINGLFCL|
2210;@;SCHEDULING;schedule of schedule type '%1%' has a date milestone %3% ('%2%') on a non-working or absence day in calendar '%4%';;11;Info;true;|G2|Y1|;|SCHEDULINGLFCL|ENTRYVALIDATOR|
2211;@;SCHEDULING;schedule of schedule type '%1%' has finished with milestone '%2%' on %3% ;;97;Info;true;|G2|;|SCHEDULINGLFCL|
#;;;;;;;;;
# Schedule Process Status;;;;;;;;;
#;;;;;;;;;
2600;@;SCHEDULING;schedule #%1%.%2% is faulty - no process status available. See LifeCycle status messages';;95;Error;true;|R1|R1|;|SCHEDULINGPROC|TRACKING|
2610;@;SCHEDULING;OVERDUE schedule of schedule type '%1%' - finishing milestone date ('%2%') is passed since %3% calendar days';;95;Error;true;|R1|Y1|;|SCHEDULINGPROC|TRACKING|
2611;@;SCHEDULING;due schedule of schedule type '%1%' - finishing milestone date ('%2%') is due in latency period of %3% calendary days;;94;Warning;true;|Y1|Y1|;|SCHEDULINGPROC|TRACKING|
2612;@;SCHEDULING;due schedule of schedule type '%1%' - finishing milestone date ('%2%') will come due in latency period %3% calendary days;;94;Info;true;|Y1|Y1|;|SCHEDULINGPROC|TRACKING|
2612;@;SCHEDULING;schedule of schedule type '%1%' - %3% calendary days to go before reaching finishing milestone date ('%2%');;5;Info;true;|G1|G1|;|SCHEDULINGPROC|TRACKING|
2700;@;SCHEDULING;risk for being on-time in schedule of schedule type '%1%' which has overdue milestones';;40;Warning;true;|Y1|;|SCHEDULINGPROC|
2900;@;SCHEDULING;schedule of schedule type '%1%' has started';;10;Info;true;|G1|;|SCHEDULINGPROC|
2901;@;SCHEDULING;schedule of schedule type '%1%' has finished on time with a span of %2% calendar days;;95;Info;true;|G1|;|SCHEDULINGPROC|
2902;@;SCHEDULING;schedule of schedule type '%1%' has finished ahead of time a span of %2% calendar days;;95;Info;true;|G1|;|SCHEDULINGPROC|
2903;@;SCHEDULING;schedule of schedule type '%1%' has finished late with a span of %2% calendar days;;95;Info;true;|G1|;|SCHEDULINGPROC|
#;;;;;;;;;
# Schedule Milestones Validation;;;;;;;;;
#;;;;;;;;;
2300;@;SCHEDULING;value for schedule #%1%.%2% milestone '%3%' is faulty - no date value for date milestone';;90;Error;false;|R1|;|ENTRYVALIDATOR|
2301;@;SCHEDULING;value for schedule #%1%.%2% date milestone '%3%' is faulty - date not in calendar %4%';;90;Error;false;|R1|;|ENTRYVALIDATOR|
2302;@;SCHEDULING;milestone '%3%' in schedule #%1%.%2% with value '%4%' is prohibited in schedule type '%5%' - set to nothing;;40;Warning;false;|Y1|;|ENTRYVALIDATOR|
2303;@;SCHEDULING;milestone '%3%' in schedule #%1%.%2% with value '%4%' is prohibited in schedule type '%5%';;90;Warning;false;|R1|;|ENTRYVALIDATOR|
#;;;;;;;;;
# DELIVERABLE TRACKING;;;;;;;;;
#;;;;;;;;;
3000;@;TRACKING;schedule  #%1%.%2% has postive gap of '%2' working days to target date '%3%';;10;Info;true;|G1|;|TRACKING|
#3000;@;TRACKING;schedule  #%1%.%2% has started';;10;Info;true;|G1|;|TRACKING|
3400;@;TRACKING;schedule  #%1%.%2% has negative gap of '%2' working days to target date '%3%';;90;Info;true;|R1|;|TRACKING|
3450;@;TRACKING;schedule #%1%.%2% is not trackable - errors and mistakes found';;91;Info;true;|R2|;|TRACKING|
